This data is a reformatted version of this data
http://dbserv.pnpi.spb.ru/elbib/tablisot/toi98/www/astro/table2.pdf
KEY:
A - Atomic mass number
EL - Element label
BE (MeV) - Binding energy in MeV
-------------------------------------------------------------------
A,EL,BE (MeV)
1,H,0.0000
2,H,2.2245
3,H,8.4820
3,He,7.7186
4,He,28.2970
6,Li,31.9965
7,Li,39.2460
7,Be,37.6026
8,Be,56.5011
9,Be,58.1665
8,B,37.7396
9,B,56.3161
10,B,64.7526
11,B,76.2060
11,C,73.4416
12,C,92.1631
13,C,97.1096
14,C,105.2860
12,N,74.0426
13,N,94.1071
14,N,104.6606
15,N,115.4941
14,O,98.7352
15,O,111.9576
16,O,127.6211
17,O,131.7646
18,O,139.8091
19,O,143.7665
17,F,128.2221
18,F,137.3716
19,F,147.8031
20,F,154.4046
21,F,162.5061
17,Ne,112.9107
18,Ne,132.1432
19,Ne,143.7827
20,Ne,160.6521
21,Ne,167.4136
22,Ne,177.7751
23,Ne,182.9756
24,Ne,191.8410
19,Na,131.8232
20,Na,145.9837
21,Na,163.0832
22,Na,174.1506
23,Na,186.5691
24,Na,193.5286
25,Na,202.5401
26,Na,208.1556
27,Na,214.9230
20,Mg,134.4703
21,Mg,149.1987
22,Mg,168.5802
23,Mg,181.7277
24,Mg,198.2592
25,Mg,205.5896
26,Mg,216.6831
27,Mg,223.1266
28,Mg,231.6311
29,Mg,235.3445
22,Al,149.3108
23,Al,168.7052
24,Al,183.5987
25,Al,200.5302
26,Al,211.8967
27,Al,224.9552
28,Al,232.6806
29,Al,242.1161
30,Al,247.8626
31,Al,255.0941
23,Si,151.1598
24,Si,172.0063
25,Si,187.0058
26,Si,206.0492
27,Si,219.3607
28,Si,236.5392
29,Si,245.0137
30,Si,255.6231
31,Si,262.2116
32,Si,271.4141
33,Si,275.8966
34,Si,283.4340
27,P,206.9433
28,P,221.4258
29,P,239.2872
30,P,250.6077
31,P,262.9202
32,P,270.8557
33,P,280.9601
34,P,287.2506
35,P,295.6221
36,P,299.0876
37,P,306.1680
38,P,309.1395
28,S,209.3523
29,S,224.7138
30,S,243.6883
31,S,256.7417
32,S,271.7842
33,S,280.4257
34,S,291.8432
35,S,298.8286
36,S,308.7181
37,S,313.0216
38,S,321.0581
39,S,325.2686
40,S,332.8600
41,S,336.2815
42,S,342.9030
43,S**,346.3095
44,S*,353.1659
45,S*,355.3874
46,S*,359.6689
47,S*,360.7904
31,Cl,243.9743
32,Cl,258.3158
33,Cl,274.0603
34,Cl,285.5687
35,Cl,298.2132
36,Cl,306.7937
37,Cl,317.1042
38,Cl,323.2126
39,Cl,331.2881
40,Cl,337.0876
41,Cl,345.0291
42,Cl,350.1205
43,Cl,356.9020
44,Cl,361.8535
45,Cl**,368.7650
46,Cl*,372.7664
47,Cl*,377.3879
48,Cl*,379.4294
49,Cl*,383.0809
50,Cl*,383.7923
51,Cl*,386.1038
32,Ar,246.3833
33,Ar,261.6548
34,Ar,278.7253
35,Ar,291.4658
36,Ar,306.7192
37,Ar,315.5087
38,Ar,327.3472
39,Ar,333.9447
40,Ar,343.8141
41,Ar,349.9126
42,Ar,359.3381
43,Ar,364.9696
44,Ar,373.3211
45,Ar,378.8525
46,Ar,386.9240
47,Ar,391.1855
48,Ar**,396.5820
49,Ar*,398.8984
50,Ar*,403.4399
51,Ar*,404.3314
52,Ar*,407.7329
53,Ar*,407.7343
35,K,278.8023
36,K,293.1318
37,K,308.5763
38,K,320.6518
39,K,333.7272
40,K,341.5267
41,K,351.6222
42,K,359.1557
43,K,368.8001
44,K,376.0886
45,K,384.9641
46,K,391.8396
47,K,400.1890
48,K,404.6865
49,K,411.4060
50,K,414.2275
51,K**,419.2089
52,K*,421.0704
53,K*,424.8319
54,K*,425.9234
55,K*,429.1349
36,Ca,281.3644
37,Ca,296.1548
38,Ca,313.1263
39,Ca,326.4138
40,Ca,342.0563
41,Ca,350.4187
42,Ca,361.9002
43,Ca,369.8327
44,Ca,380.9652
45,Ca,388.3797
46,Ca,398.7791
47,Ca,406.0556
48,Ca,415.9961
